"# Constructed from biom file"																																								
"#OTU ID"	"Barbutim-09-2017"	"Haon-09-2017"	"Tiberias-Head-09-2017"	"Maayan1-09-2017"	"Ein7-09-2017"	"Fuliya4-09-2017"	"Tiberias-Pump-09-2017"	"Gesher-Hana-09-2017"	"Nur-09-2017"	"Barbutim-01-2018"	"Haon-01-2018"	"Tiberias-Pump-01-2018"	"Tiberias-Pool-01-2018"	"Gesher-Hana-01-2018"	"Nur-01-2018"	"Maayan1-01-2018"	"Ein7-01-2018"	"Fuliya4-01-2018"	"Barbutim-09-2018"	"Haon-09-2018"	"Tiberias-Head-09-2018"	"Tiberias-Pump-09-2018"	"Tiberias-Pool-09-2018"	"Gesher-Hana-09-2018"	"Nur-09-2018"	"Maayan1-09-2018"	"Ein7-09-2018"	"Fuliya4-09-2018"	"Barbutim-01-2019"	"Haon-01-2019"	"Tiberias-Head-01-2019"	"Tiberias-Pump-01-2019"	"Tiberias-Pool-01-2019"	"Gesher-Hana-01-2019"	"Nur-01-2019"	"Maayan1-01-2019"	"Ein7-01-2019"	"Fuliya4-01-2019"	"Tiberias-Head-06-2018"	"Tiberias-Pool-06-2018"
"97682"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16a83"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	34	0	0	0	0	0	0	0	0	0	0	0	0	0
"73580"	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0
"135eb"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	11	0	0	0
"edc62"	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0
"00c8b"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4ac72"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	7	0	0	0
"6a48d"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	60	0	86	0	0	0
"e32eb"	0	0	0	0	34	115	0	0	0	70	0	0	0	21	0	0	0	0	109	0	0	0	0	29	0	0	0	0	34	0	0	0	0	19	0	0	0	0	0	0
"6a6f2"	0	0	0	66	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
